Condition\Participate ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Mean
1,192939.5838,137791.1478,35716.0443,73085.87576,125254.4039,88029.51621,107755.8414,99768.88525,72277.60618,85819.29866,252236.9928,126077.4599,45936.58308,132973.5744,112547.3438
2,108831.7392,22685.94679,42371.71136,48280.28272,14526.61323,95498.36525,72404.67169,151331.3037,59488.40401,8630.493657,92850.27674,32252.67417,48816.12741,352910.873,82205.67735
3,36189.1551,346008.5786,49733.89123,59127.58941,198048.6847,184858.8358,38233.52888,50540.68351,23557.45371,103210.216,192239.0094,87307.07363,41079.4083,90063.36623,107156.9625
4,65032.3474,120519.7589,147054.1588,33647.94378,259926.4328,155938.2851,96928.99743,79471.99408,35241.5241,369302.4064,269640.3536,102283.684,44105.29799,182688.2194,140127.2431
5,140714.7511,66517.38178,42107.73475,38224.02675,93429.62012,178646.0663,80464.88224,169829.6531,14340.82124,140041.462,76598.22601,65211.45806,48802.29324,214204.3269,97795.19312
6,96843.9454,94803.09315,63501.29419,90658.18633,153107.9639,66330.88103,37193.174,103918.315,103567.2251,35904.73917,101804.8388,14787.13627,83602.7383,218686.5756,90336.43616
7,89676.28182,63528.14566,15378.27001,27323.26488,24718.48571,309521.0321,42157.76509,352206.2728,143384.4544,59748.10302,279058.5268,36424.63542,41519.6218,46434.25256,109362.7937
8,449345.4022,153288.7832,213105.5468,31592.37005,145595.9169,201845.3968,65046.08621,81858.20427,35917.86364,326391.0436,65732.94718,89882.97575,40181.64206,142783.6109,145897.6993
9,20153.91825,54860.67069,46428.60061,23833.59074,65694.91202,402178.1251,211749.993,182039.4393,128327.0155,21203.38163,126347.254,52575.94872,55122.37306,74618.72157,104652.4246
10,13606.46804,58810.75785,67804.81082,49254.81461,62040,85642.92829,147954.2235,130828.2049,34387.51304,402311.1339,45544.31205,38119.80158,26340.54805,243511.2454,100439.7687
11,77690.48192,26173.82663,43975.25641,57727.64551,46505.41254,159507.0414,35861.70424,89288.29185,70065.11107,43592.68505,518195.9048,84825.33348,22435.72215,49382.64681,94659.07599
12,78694.3298,309069.9257,34278.58932,23273.95993,24529.92191,52043.38366,174718,53423.5335,42246.80567,46554.72994,198048.6112,11662.66242,33918.76926,187577.2718,90717.17815
13,377816.0365,140192.1124,21328.81698,12142.86226,54129.14423,354598.1443,146264.812,65210.10322,118189.1305,132626.5335,204077.9239,137155.6225,78846.21941,319276.7694,154418.1594
14,102138.1119,116921.1568,35737.37615,92187.47338,126719.7596,210628.8396,107966.6074,135743.8035,46080.57463,68309.93556,64158.50677,26898.49919,137483.6779,248306.7895,108520.0794
15,62660.5851,71297.68738,24696.69693,17290.7199,197045.9887,112619.4547,101002.5386,29117.38722,17597.23217,220283.6349,462793.6315,109405.3446,40511.23083,130428.517,114053.6178
16,159513.4031,199303.4586,24065.65848,28658.72458,100439.0108,85334.84403,47101.57778,90095.09453,25846.2222,35623.1234,9508.81705,39324.42285,32188.98256,56905.29503,66707.75964
17,138883.9425,226502.3667,19655.42441,23163.62708,208588.1814,219682.3171,46828.20033,44401.22771,26212.00373,22686.77987,135470.4472,45160.76716,52542.00781,275799.8767,106112.655
18,81364.24979,106271.2294,13565.27343,13795.49371,217247.3849,64787.49952,12379.72542,74994.17122,14849.23134,366150.9118,130747.0406,159796.8948,193204.2342,31814.9636,105783.4503
19,51800.42193,392831.3212,86217.45738,29617.85924,29842.93305,86356.67861,35525.24368,57947.62648,37030.43567,59665.09358,155059.7905,70425.2289,41910.97402,452530.1609,113340.0875
20,82199.7229,52344.46859,6801.526748,43488.78691,159465.642,114072.6824,237384.4325,114047.3844,131591.9612,75944.79106,272223.5151,97640.00954,117221.9313,234291.5432,124194.1713
21,133341.6007,86274.74549,14877.43901,24271.58028,198522.6285,140336.8141,178731.7487,42756.75303,59444.94828,431925.2278,90023.955,34252.40803,110591.3487,49258.24847,113900.6747
22,47050.53149,131302.5931,7802.82315,30152.18799,486725.7492,70033.01208,76986.83356,34846.78443,27529.5736,209758.5794,230365.2185,82410.55983,35166.86899,63532.95616,109547.448
23,82467.10001,27572.89006,28521.16505,41676.98619,358746.4957,12571.46959,73385.75066,97837.15764,15919.65004,42331.77039,324935.0389,407994.273,43113.05305,162930.7703,122857.3979
24,82917.86422,437456.6717,19264.8876,64889.24447,35538.7702,365237.5496,85648.23354,18095.96552,100521.2099,243151.3045,43158.83052,556993.8567,24456.89853,24425.72999,150125.5012
25,135138.0181,109627.0101,10397.7998,45559.3008,130498.5718,122159.8406,29920.08389,43363.07183,381037.3443,14141.14663,23471.22909,25018.48794,102650.2153,313281.3649,106161.6775
26,77201.59833,13425.311,17414.16057,25543.28305,322803.8637,129127.6911,83303.25183,75862.16864,30300.98539,84891.09147,69335.53537,57632.01667,70251.97911,103353.9231,82889.06138
27,21091.66341,42981.82895,56483.0246,51469.28767,207446.8017,83922.8903,88218.75191,51577.7497,96582.75773,138694.5726,30786.30587,129079.3665,100563.9988,94228.82639,85223.41615
28,68147.09994,68784.60448,45804.10783,40990.22769,252507.3774,270140.8946,130154.5287,56627.71825,37324.39945,69848.77564,40184.43313,308994.5797,72611.65854,77891.92813,110000.881
29,72361.50961,33530.88582,5065.791254,182520.8203,302610.0554,27911.87392,83485.35953,24721.26945,33697.34937,101537.6575,40546.02342,36625.40888,45169.85246,518253.5587,107716.9583
30,51741.46032,91692.93332,72158.86794,27605.27272,16230.4701,37088.17036,108441.7339,134426.0431,76632.22303,35458.06439,283561.5676,539471.1596,55931.89858,50180.21647,112901.4344
31,45337.18444,116398.4441,18102.48368,42158.97187,174580.836,28435.10833,143960.8551,39474.0309,20813.40861,234653.9339,29155.28138,65101.72184,65191.00619,33173.15003,75466.88689
32,82224.62942,113655.0747,58515.3234,21000.08485,62103.67484,65649.71955,37544.98954,18189.4409,77265.90719,103166.9675,64247.7532,86540.43259,82769.46027,268469.9238,81524.52727
